Tract ID,Average Elevation
01063060102,61.215015
01063060101,53.366776
01069040802,74.67653
01069040204,88.633575
01069041902,65.39752
01069040205,81.8507
01069040203,87.179695
01069040801,88.32979
01069041901,80.24251
01069040206,83.86444
01125010706,121.01015
01125010704,86.09846
01125010705,44.918705
01125010104,110.75163
01125012504,39.826046
01125010305,89.379616
01125010603,173.60643
01125012306,102.49554
01125010707,99.967766
01125010206,78.174614
01125012307,106.364555
01125012505,55.424076
01125010604,165.98103
01125012101,87.941475
01125010105,101.35185
01125010304,60.836082
01125010205,95.571075
01125012408,64.206345
01125012406,59.372612
01125012102,88.67519
01125012002,66.53291
01125012001,65.0717
01125012407,54.22507
01089001902,282.43796
01089010302,242.6342
01089010200,255.155
01089011021,199.56448
01089001801,362.47903
01089001901,268.8774
01089000403,265.89893
01089010502,253.49121
01089011400,191.3473
01089000901,254.70815
01089000602,212.31213
01089010612,227.67197
01059973600,207.32286
01059973300,250.34016
01059973500,196.99838
01059973100,227.8052
01059972900,205.04082
01059973400,186.99443
01059973000,245.03142
01059973200,248.00896
01127020801,132.86082
01127020302,145.29025
01127020301,132.68654
01127020802,165.99126
01059973703,289.5636
01055010201,171.37175
01059973701,265.67978
01009050104,233.54825
01009050106,281.20386
01089010704,239.47173
01089011026,207.31567
01089010503,249.32045
01089010102,220.36961
01089010631,234.3054
01089010630,227.06801
01089010904,182.18497
01089001404,204.73543
01089002804,176.51659
01089002924,185.85573
01089010101,308.14996
01089010405,252.01234
01089011023,234.33499
01089010802,268.3695
01089010905,251.57106
01089000203,236.34958
01089010903,250.76381
01089010628,227.14908
01089010703,229.91335
01089011027,212.99109
01089001403,205.04094
01075030101,99.32788
01075030102,129.45032
01089000902,252.97083
01089001000,202.47185
01031011204,97.428955
01031011205,91.26161
01031011203,109.70497
01031011206,93.05133
01007010006,145.74207
01007010011,110.715485
01007010007,135.11342
01007010005,158.73933
01007010008,127.32527
01007010009,66.806175
01007010010,96.32596
01089001200,193.35423
01089010303,250.55338
01089010629,244.9369
01089002923,210.46687
01089010627,218.30257
01089010403,255.96024
01089011024,220.94101
01089011302,226.4987
01089010706,224.00304
01089002803,182.51352
01089011202,180.01402
01089011203,180.82399
01089010504,260.38602
01011952202,140.64488
01011952201,106.96885
01021060701,186.96588
01021060702,147.95468
01021060403,190.55725
01021060404,171.46072
01021060103,190.63835
01021060104,186.44939
01069040700,87.81537
01069041000,95.392426
01069041100,91.01077
01069041200,99.81428
01069041500,92.13679
01069042100,62.15065
01055010505,208.91405
01055010202,178.13231
01055010504,166.43918
01055010503,179.18497
01055010506,205.28989
01133965602,227.07872
01133965601,202.62994
01071950901,191.24335
01071950902,189.63222
01071950302,192.21724
01071951102,310.11673
01071950602,199.86952
01071950101,371.4691
01071951101,396.79892
01071950102,369.95944
01095030803,308.45282
01095030804,325.65277
01095030204,256.7235
01095030102,245.58795
01095030206,230.57977
01095030101,303.98822
01095030302,251.55344
01095030601,277.9008
01095030602,214.02809
01095030502,287.4578
01095030301,295.21683
01089000301,217.18134
01089000302,220.85007
01089002200,199.25276
01089002722,258.56146
01065040401,48.90795
01065040402,78.25583
01089002911,201.56718
01013952800,132.38824
01089000501,235.42818
01089000502,227.10722
01089000503,223.34572
01089000601,213.06169
01089000701,213.55997
01049960601,356.5818
01049960401,399.97546
01049960703,330.3974
01049960301,414.57217
01033020704,154.58235
01091973001,66.7766
01091972901,27.513168
01091973002,43.19044
01091972902,55.10931
01047956101,54.42579
01047956102,102.79074
01047957302,61.118816
01047957301,46.805866
01033020703,158.0128
01097006501,43.998405
01097006702,32.620987
01097006407,39.34841
01097007201,10.950722
01097007700,8.952062
01097007400,4.924939
01033020902,195.79582
01033020901,203.5821
01023956700,54.13193
01043964800,265.93097
01107050401,47.46657
01107050402,76.475266
01099076102,113.963264
01099075901,62.665863
01099076101,91.67334
01099075902,92.21506
01131034801,36.689022
01131034802,54.210484
01089000702,209.10912
01087232100,107.88644
01103005305,212.80852
01103005306,191.89386
01103005201,195.62053
01101002201,61.080692
01101002202,54.322258
01101002300,56.67008
01101002400,57.280632
01101002500,63.033226
01101002600,74.03857
01103000200,171.49382
01101002700,85.52637
01101003000,51.446507
01101003100,59.548958
01101003200,61.594765
01103005101,188.35315
01103005105,194.50403
01097006704,30.839811
01097005702,18.434378
01097006305,64.41021
01103005500,217.25397
01103005405,201.67989
01003990000,-0.7444301
01101003301,80.458786
01101005301,66.0736
01101005302,61.760014
01097005601,4.8207965
01097005701,24.196068
01097005602,5.1273756
01097006505,25.15215
01097006202,57.258785
01097006107,39.61731
01097006504,28.107021
01097006306,60.187817
01097006412,53.608368
01097006413,41.53469
01097007204,0.873456
01097006703,21.103558
01097007203,-0.04054769
01097003712,27.41707
01097006304,55.92803
01097003410,50.054356
01097006106,13.642309
01097006201,54.696087
01101005403,79.38976
01119011500,56.765118
01119011600,83.520584
01103005302,192.13762
01103005304,192.95473
01103000100,174.59306
01103005103,176.56084
01103005404,196.84026
01101005902,57.61622
01043965401,210.57642
01055011100,300.82108
01055000500,187.55702
01055001000,166.58987
